# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-01-15 20:07:08 942946992 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137210  0.000000000  1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000998503024     0.164930  0.000000000000000 
     1     0.001000  0.000137210  0.000137133  0.001522105  0.999998842  0.000000000000000000 -30.000034752   5.282177334  30.000034752  0.000000997522263     0.165221  5.282177334166990 
     2     0.002000  0.000274344  0.000137111  0.003049017  0.999995352  0.000000000000007105 -30.000139449   0.927532466  30.000139449  0.000000997328702     0.166143  0.927532465980044 
     3     0.003000  0.000411455  0.000137143  0.004581369  0.999989505  0.000000000000007105 -30.000314839   1.082166189  30.000314839  0.000000997938122     0.167701  1.082166188615499 
     4     0.004000  0.000548598  0.000137232  0.006119816  0.999981274  0.000000000000000000 -30.000561798   1.261477342  30.000561798  0.000000999372254     0.169900  1.261477341708278 
     5     0.005000  0.000685830  0.000137176  0.007665037  0.999970623  0.000000000000014211 -30.000881331   1.469200249  30.000881331  0.000000998695495     0.172751  1.469200249407806 
     6     0.006000  0.000823006  0.000137183  0.009215440  0.999957537 -0.000000000000014211 -30.001273946   1.689528435  30.001273946  0.000000998929469     0.176261  1.689528434572530 
     7     0.007000  0.000960189  0.000137053  0.010771765  0.999941983  0.000000000000000000 -30.001740615   1.957908933  30.001740615  0.000000997174611     0.180445  1.957908933393830 
     8     0.008000  0.001097243  0.000137196  0.012332493  0.999923952  0.000000000000000000 -30.002281616   2.239565276  30.002281616  0.000000999390315     0.185313  2.239565276289967 
     9     0.009000  0.001234438  0.000137210  0.013900767  0.999903380 -0.000000000000028422 -30.002898890   2.613120115  30.002898890  0.000000999729819     0.190892  2.613120115459045 
    10     0.010000  0.001371648  0.000137102  0.015475163  0.999880252  0.000000000000000000 -30.003592855   2.982389876  30.003592855  0.000000998298728     0.197198  2.982389876023540 
    11     0.011000  0.001508750  0.000137080  0.017054317  0.999854565  0.000000000000000000 -30.004363698   3.389583029  30.004363698  0.000000998110749     0.204245  3.389583029113137 
    12     0.012000  0.001645830  0.000137146  0.018639243  0.999826274 -0.000000000000028422 -30.005212679   3.883670232  30.005212679  0.000000999215781     0.212060  3.883670231898548 
    13     0.013000  0.001782976  0.000137108  0.020231008  0.999795332  0.000000000000000000 -30.006141291   4.444849673  30.006141291  0.000000998795861     0.220674  4.444849672695508 
    14     0.014000  0.001920083  0.000137169  0.021828437  0.999761731  0.000000000000000000 -30.007149765   5.019151320  30.007149765  0.000000999819947     0.230107  5.019151320363028 
    15     0.015000  0.002057252  0.000137137  0.023432725  0.999725416 -0.000000000000056843 -30.008239783   5.715662257  30.008239783  0.000000999495877     0.240395  5.715662256987192 
    16     0.016000  0.002194389  0.000137021  0.025042831  0.999686379  0.000000000000000000 -30.009411578   6.420984165  30.009411578  0.000000997946611     0.251562  6.420984165308542 
    17     0.017000  0.002331410  0.000137021  0.026657796  0.999644618  0.000000000000000000 -30.010665256   7.184656253  30.010665256  0.000000998080688     0.263630  7.184656252543296 
    18     0.018000  0.002468431  0.000137137  0.028279013  0.999600069  0.000000000000000000 -30.012002738   8.110972797  30.012002738  0.000000999915640     0.276641  8.110972796897938 
    19     0.019000  0.002605568  0.000136994  0.029907910  0.999552658  0.000000000000000000 -30.013426254   9.147695509  30.013426254  0.000000997966935     0.290642  9.147695509340720 
    20     0.020000  0.002742562  0.000136980  0.031541441  0.999502445  0.000000000000000000 -30.014934081  10.044165300  30.014934081  0.000000997894173     0.305642 10.044165299884138 
    21     0.021000  0.002879542  0.000137093  0.033181169  0.999449353 -0.000000000000056843 -30.016528499  11.247136112  30.016528499  0.000000999690287     0.321689 11.247136111995973 
    22     0.022000  0.003016635  0.000136967  0.034828676  0.999393298  0.000000000000000000 -30.018212121  12.583079462  30.018212121  0.000000997984301     0.338838 12.583079462293950 
    23     0.023000  0.003153602  0.000136978  0.036481113  0.999334343  0.000000000000000000 -30.019983022  13.698280604  30.019983022  0.000000998285059     0.357097 13.698280603735679 
    24     0.024000  0.003290580  0.000136944  0.038140173  0.999272399  0.000000000000000000 -30.021843926  15.222718460  30.021843926  0.000000997932796     0.376523 15.222718460422266 
    25     0.025000  0.003427525  0.000137050  0.039805351  0.999207453  0.000000000000056843 -30.023795270  16.677500352  30.023795270  0.000000999608560     0.397150 16.677500351969908 
    26     0.026000  0.003564575  0.000136938  0.041478384  0.999139402  0.000000000000056843 -30.025840193  18.460301417  30.025840193  0.000000998107892     0.419043 18.460301417275698 
    27     0.027000  0.003701512  0.000136970  0.043156653  0.999068318  0.000000000000000000 -30.027976537  19.867029762  30.027976537  0.000000998722650     0.442209 19.867029762026533 
    28     0.028000  0.003838482  0.000136971  0.044841971  0.998994093  0.000000000000000000 -30.030207599  21.856772417  30.030207599  0.000000998866194     0.466715 21.856772417159192 
    29     0.029000  0.003975453  0.000136942  0.046533982  0.998916707  0.000000000000000000 -30.032534019  23.697944166  30.032534019  0.000000998593753     0.492602 23.697944166000156 
    30     0.030000  0.004112395  0.000136889  0.048232374  0.998836142 -0.000000000000113687 -30.034956431  25.616017079  30.034956431  0.000000997956012     0.519908 25.616017078738619 
    31     0.031000  0.004249285  0.000136982  0.049936869  0.998752376  0.000000000000113687 -30.037475468  27.607103570  30.037475468  0.000000999446359     0.548674 27.607103569563861 
    32     0.032000  0.004386266  0.000136883  0.051649330  0.998665283  0.000000000000113687 -30.040095037  30.040095037  30.040095037  0.000000998142769     0.578979 30.040095037071382 
    33     0.033000  0.004523149  0.000136932  0.053367402  0.998574945  0.000000000000000000 -30.042812666  30.042812666  30.042812666  0.000000998992487     0.610829 30.042812665978222 
    34     0.034000  0.004660081  0.000136960  0.055092975  0.998481229  0.000000000000113687 -30.045632444  30.045632444  30.045632444  0.000000999541050     0.644307 30.045632444118752 
    35     0.035000  0.004797041  0.000136969  0.056825837  0.998384107  0.000000000000000000 -30.048555263  30.048555263  30.048555263  0.000000999819009     0.679459 30.048555263005913 
    36     0.036000  0.004934010  0.000136962  0.058565797  0.998283551  0.000000000000000000 -30.051582019  30.051582019  30.051582019  0.000000999853844     0.716332 30.051582019144671 
    37     0.037000  0.005070972  0.000136940  0.060312685  0.998179533 -0.000000000000113687 -30.054713615  30.054713615  30.054713615  0.000000999670134     0.754975 30.054713615452464 
    38     0.038000  0.005207912  0.000136905  0.062066351  0.998072026  0.000000000000000000 -30.057950962  30.057950962  30.057950962  0.000000999289743     0.795435 30.057950962261639 
    39     0.039000  0.005344817  0.000136857  0.063826658  0.997961000  0.000000000000000000 -30.061294978  30.061294978  30.061294978  0.000000998732009     0.837762 30.061294977952326 
    40     0.040000  0.005481674  0.000136798  0.065593488  0.997846428  0.000000000000000000 -30.064746589  30.064746589  30.064746589  0.000000998013942     0.882005 30.064746589260128 
    41     0.041000  0.005618472  0.000136878  0.067366731  0.997728281  0.000000000000113687 -30.068306731  30.068306731  30.068306731  0.000000999317833     0.928215 30.068306731299717 
    42     0.042000  0.005755350  0.000136796  0.069148228  0.997606397  0.000000000000113687 -30.071980394  30.071980394  30.071980394  0.000000998257904     0.976496 30.071980394172261 
    43     0.043000  0.005892145  0.000136850  0.070935913  0.997480875  0.000000000000000000 -30.075764607  30.075764607  30.075764607  0.000000999187224     1.026851 30.075764606817433 
    44     0.044000  0.006028995  0.000136890  0.072731607  0.997351549  0.000000000000000000 -30.079664503  30.079664503  30.079664503  0.000000999914730     1.079387 30.079664502743331 
    45     0.045000  0.006165886  0.000136777  0.074535180  0.997218385  0.000000000000000000 -30.083681225  30.083681225  30.083681225  0.000000998397982     1.134163 30.083681225122529 
    46     0.046000  0.006302662  0.000136795  0.076344642  0.997081489  0.000000000000000000 -30.087811611  30.087811611  30.087811611  0.000000998809235     1.191177 30.087811611243140 
    47     0.047000  0.006439458  0.000136802  0.078161777  0.996940689 -0.000000000000113687 -30.092060986  30.092060986  30.092060986  0.000000999042540     1.250547 30.092060985885386 
    48     0.048000  0.006576260  0.000136797  0.079986468  0.996795949  0.000000000000000000 -30.096430483  30.096430483  30.096430483  0.000000999104045     1.312332 30.096430483263937 
    49     0.049000  0.006713056  0.000136780  0.081818601  0.996647238  0.000000000000113687 -30.100921231  30.100921231  30.100921231  0.000000998998987     1.376593 30.100921231096844 
    50     0.050000  0.006849836  0.000136752  0.083658064  0.996494520  0.000000000000000000 -30.105534349  30.105534349  30.105534349  0.000000998731787     1.443393 30.105534349303998 
    51     0.051000  0.006986588  0.000136713  0.085504749  0.996337763  0.000000000000000000 -30.110270949  30.110270949  30.110270949  0.000000998306123     1.512793 30.110270948620478 
    52     0.052000  0.007123301  0.000136790  0.087358546  0.996176934  0.000000000000000000 -30.115132129  30.115132129  30.115132129  0.000000999565436     1.584858 30.115132129135457 
    53     0.053000  0.007260091  0.000136726  0.089221068  0.996011848  0.000000000000000000 -30.120123635  30.120123635  30.120123635  0.000000998774178     1.659723 30.120123635157764 
    54     0.054000  0.007396817  0.000136774  0.091090447  0.995842623  0.000000000000227374 -30.125241977  30.125241977  30.125241977  0.000000999611547     1.737385 30.125241976611434 
    55     0.055000  0.007533591  0.000136686  0.092968250  0.995669074 -0.000000000000227374 -30.130492941  30.130492941  30.130492941  0.000000998465483     1.817985 30.130492940742798 
    56     0.056000  0.007670277  0.000136705  0.094852654  0.995491323  0.000000000000000000 -30.135872919  30.135872919  30.135872919  0.000000998888489     1.901518 30.135872919109882 
    57     0.057000  0.007806982  0.000136709  0.096745178  0.995309183  0.000000000000000000 -30.141387723  30.141387723  30.141387723  0.000000999078728     1.988130 30.141387722721383 
    58     0.058000  0.007943691  0.000136696  0.098645648  0.995122624 -0.000000000000227374 -30.147038451  30.147038451  30.147038451  0.000000999037661     2.077893 30.147038451243279 
    59     0.059000  0.008080388  0.000136668  0.100553886  0.994931614  0.000000000000000000 -30.152826171  30.152826171  30.152826171  0.000000998766510     2.170882 30.152826171174262 
    60     0.060000  0.008217056  0.000136733  0.102469715  0.994736125  0.000000000000227374 -30.158751914  30.158751914  30.158751914  0.000000999853479     2.267171 30.158751913815067 
    61     0.061000  0.008353789  0.000136670  0.104394484  0.994535968  0.000000000000000000 -30.164821549  30.164821549  30.164821549  0.000000999071409     2.366919 30.164821548950144 
    62     0.062000  0.008490459  0.000136695  0.106326438  0.994331277  0.000000000000000000 -30.171031216  30.171031216  30.171031216  0.000000999583497     2.470122 30.171031216320241 
    63     0.063000  0.008627155  0.000136700  0.108266870  0.994121866  0.000000000000000000 -30.177386717  30.177386717  30.177386717  0.000000999782787     2.576944 30.177386716920548 
    64     0.064000  0.008763854  0.000136682  0.110215524  0.993907711  0.000000000000000000 -30.183888969  30.183888969  30.183888969  0.000000999670429     2.687465 30.183888968778646 
    65     0.065000  0.008900536  0.000136644  0.112172138  0.993688790  0.000000000000000000 -30.190538831  30.190538831  30.190538831  0.000000999247578     2.801770 30.190538830731143 
    66     0.066000  0.009037180  0.000136679  0.114136451  0.993465083  0.000000000000000000 -30.197337100  30.197337100  30.197337100  0.000000999898841     2.919942 30.197337099923601 
    67     0.067000  0.009173859  0.000136594  0.116109561  0.993236412  0.000000000000000000 -30.204289373  30.204289373  30.204289373  0.000000998806431     3.042152 30.204289373382359 
    68     0.068000  0.009310453  0.000136579  0.118089789  0.993002921  0.000000000000000000 -30.211391482  30.211391482  30.211391482  0.000000998719826     3.168403 30.211391482400831 
    69     0.069000  0.009447032  0.000136624  0.120078167  0.992764440  0.000000000000000000 -30.218648839  30.218648839  30.218648839  0.000000999515270     3.298868 30.218648838580823 
