# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-06-03 18:10:01 715305323 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000137178          nan  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000998036482     0.164930         -nan         -nan 
    0.001000  0.000137178  0.000137104 30.000034736  5.280741845 200.000000000  0.005280742   0     0.065133  0.000000997095685     0.165221   -30.000035    30.000035 
    0.002000  0.000274282  0.000137109 30.000139386  0.927191146 200.000000000  0.006207933   0     0.017564  0.000000997295989     0.166143   -30.000139    30.000139 
    0.003000  0.000411391  0.000137192 30.000314741  1.083282083 200.000000000  0.007291215   0     0.019717  0.000000998650968     0.167700   -30.000315    30.000315 
    0.004000  0.000548583  0.000137134 30.000561768  1.265047986 200.000000000  0.008556263   0     0.022173  0.000000997944311     0.169900   -30.000562    30.000562 
    0.005000  0.000685717  0.000137160 30.000881038  1.457835701 200.000000000  0.010014099   0     0.024798  0.000000998452410     0.172748   -30.000881    30.000881 
    0.006000  0.000822877  0.000137050 30.001273541  1.694842155 200.000000000  0.011708941   0     0.027911  0.000000996987846     0.176258   -30.001274    30.001274 
    0.007000  0.000959927  0.000137030 30.001739650  1.943739516 200.000000000  0.013652680   0     0.031212  0.000000996838698     0.180437   -30.001740    30.001740 
    0.008000  0.001096957  0.000137104 30.002280409  2.249163089 200.000000000  0.015901844   0     0.035141  0.000000998046865     0.185303   -30.002280    30.002280 
    0.009000  0.001234060  0.000137054 30.002897084  2.600725775 200.000000000  0.018502569   0     0.039616  0.000000997462714     0.190876   -30.002897    30.002897 
    0.010000  0.001371114  0.000137107 30.003590006  2.965720865 200.000000000  0.021468290   0     0.044310  0.000000998366448     0.197172   -30.003590    30.003590 
    0.011000  0.001508221  0.000137047 30.004360574  3.413173047 200.000000000  0.024881463   0     0.049931  0.000000997634224     0.204216   -30.004361    30.004361 
    0.012000  0.001645268  0.000137099 30.005209039  3.873007520 200.000000000  0.028754471   0     0.055767  0.000000998532199     0.212026   -30.005209    30.005209 
    0.013000  0.001782367  0.000137050 30.006136994  4.436406975 200.000000000  0.033190878   0     0.062776  0.000000997960780     0.220634   -30.006137    30.006137 
    0.014000  0.001919418  0.000137123 30.007144673  5.009501594 200.000000000  0.038200379   0     0.069978  0.000000999161380     0.230059   -30.007145    30.007145 
    0.015000  0.002056541  0.000137107 30.008233922  5.711775502 200.000000000  0.043912155   0     0.078653  0.000000999056446     0.240340   -30.008234    30.008234 
    0.016000  0.002193648  0.000137008 30.009405023  6.418902638 200.000000000  0.050331057   0     0.087473  0.000000997761067     0.251499   -30.009405    30.009405 
    0.017000  0.002330656  0.000137047 30.010658131  7.185135390 200.000000000  0.057516193   0     0.097013  0.000000998464736     0.263561   -30.010658    30.010658 
    0.018000  0.002467703  0.000137015 30.011995415  8.125520953 200.000000000  0.065641714   0     0.108554  0.000000998126701     0.276569   -30.011995    30.011995 
    0.019000  0.002604718  0.000137126 30.013417167  9.054188180 200.000000000  0.074695902   0     0.120056  0.000000999891495     0.290552   -30.013417    30.013417 
    0.020000  0.002741844  0.000136968 30.014925954 10.196395229 200.000000000  0.084892297   0     0.134025  0.000000997720267     0.305560   -30.014926    30.014926 
    0.021000  0.002878812  0.000136965 30.016519772 11.149818036 200.000000000  0.096042115   0     0.145953  0.000000997813139     0.321600   -30.016520    30.016520 
    0.022000  0.003015777  0.000136912 30.018201301 12.470256278 200.000000000  0.108512372   0     0.162079  0.000000997178979     0.338727   -30.018201    30.018201 
    0.023000  0.003152689  0.000137018 30.019970911 13.736649199 200.000000000  0.122249021   0     0.177678  0.000000998859856     0.356971   -30.019971    30.019971 
    0.024000  0.003289706  0.000137079 30.021831761 15.306521762 200.000000000  0.137555542   0     0.196806  0.000000999893255     0.376395   -30.021832    30.021832 
    0.025000  0.003426785  0.000136901 30.023784483 16.796595488 200.000000000  0.154352138   0     0.215106  0.000000997437556     0.397035   -30.023784    30.023784 
    0.026000  0.003563686  0.000136893 30.025826634 18.091530284 200.000000000  0.172443668   0     0.231220  0.000000997460919     0.418897   -30.025827    30.025827 
    0.027000  0.003700579  0.000137052 30.027961664 19.974252882 200.000000000  0.192417921   0     0.254134  0.000000999914731     0.442046   -30.027962    30.027962 
    0.028000  0.003837631  0.000136983 30.030193441 22.048064702 200.000000000  0.214465986   0     0.279341  0.000000999048143     0.466559   -30.030193    30.030193 
    0.029000  0.003974614  0.000136892 30.032519483 23.581990792 200.000000000  0.238047977   0     0.298372  0.000000997856562     0.492439   -30.032519    30.032519 
    0.030000  0.004111506  0.000136974 30.034940389 25.474837632 200.000000000  0.263522814   0     0.321588  0.000000999190057     0.519726   -30.034940    30.034940 
    0.031000  0.004248480  0.000136843 30.037460376 27.888620171 200.000000000  0.291411434   0     0.350907  0.000000997422112     0.548501   -30.037460    30.037460 
    0.032000  0.004385323  0.000136888 30.040076659 29.548684395 200.000000000  0.320960119   0     0.371519  0.000000998217797     0.578765   -30.040077    30.040077 
    0.033000  0.004522211  0.000136916 30.042793700 30.042793700 200.000000000  0.353144725   0     0.378668  0.000000998767777     0.610606   -30.042794    30.042794 
    0.034000  0.004659128  0.000136930 30.045612460 30.045612460 200.000000000  0.387622378   0     0.380205  0.000000999105257     0.644068   -30.045612    30.045612 
    0.035000  0.004796058  0.000136931 30.048533914 30.048533914 200.000000000  0.424460725   0     0.381835  0.000000999260119     0.679201   -30.048534    30.048534 
    0.036000  0.004932989  0.000136922 30.051559062 30.051559062 200.000000000  0.463722261   0     0.383559  0.000000999259101     0.716051   -30.051559    30.051559 
    0.037000  0.005069910  0.000136903 30.054688926 30.054688926 200.000000000  0.505464031   0     0.385377  0.000000999125992     0.754668   -30.054689    30.054689 
    0.038000  0.005206813  0.000136877 30.057924550 30.057924550 200.000000000  0.549737392   0     0.387289  0.000000998881841     0.795103   -30.057925    30.057925 
    0.039000  0.005343690  0.000136844 30.061267006 30.061267006 200.000000000  0.596587824   0     0.389295  0.000000998545161     0.837406   -30.061267    30.061267 
    0.040000  0.005480534  0.000136806 30.064717390 30.064717390 200.000000000  0.646054795   0     0.391395  0.000000998132140     0.881628   -30.064717    30.064717 
    0.041000  0.005617340  0.000136764 30.068276826 30.068276826 200.000000000  0.698171666   0     0.393587  0.000000997656836     0.927824   -30.068277    30.068277 
    0.042000  0.005754104  0.000136891 30.071946464 30.071946464 200.000000000  0.752965659   0     0.395870  0.000000999644988     0.976048   -30.071946    30.071946 
    0.043000  0.005890995  0.000136838 30.075732313 30.075732313 200.000000000  0.811553317   0     0.398287  0.000000999015897     1.026418   -30.075732    30.075732 
    0.044000  0.006027833  0.000136784 30.079630906 30.079630906 200.000000000  0.871886871   0     0.400752  0.000000998357403     1.078931   -30.079631    30.079631 
    0.045000  0.006164617  0.000136727 30.083643469 30.083643469 200.000000000  0.934947724   0     0.403302  0.000000997676869     1.133645   -30.083643    30.083643 
    0.046000  0.006301345  0.000136836 30.087771254 30.087771254 200.000000000  1.000738713   0     0.405935  0.000000999395532     1.190617   -30.087771    30.087771 
    0.047000  0.006438180  0.000136773 30.092020748 30.092020748 200.000000000  1.070636557   0     0.408703  0.000000998626650     1.249982   -30.092021    30.092021 
    0.048000  0.006574954  0.000136711 30.096388200 30.096388200 200.000000000  1.142015477   0     0.411499  0.000000997852249     1.311731   -30.096388    30.096388 
    0.049000  0.006711665  0.000136808 30.100874933 30.100874933 200.000000000  1.216103624   0     0.414370  0.000000999416629     1.375927   -30.100875    30.100875 
    0.050000  0.006848473  0.000136742 30.105487773 30.105487773 200.000000000  1.294491487   0     0.417374  0.000000998579861     1.442714   -30.105488    30.105488 
    0.051000  0.006985215  0.000136675 30.110222763 30.110222763 200.000000000  1.374086047   0     0.420390  0.000000997745693     1.512083   -30.110223    30.110223 
    0.052000  0.007121890  0.000136764 30.115081292 30.115081292 200.000000000  1.456321697   0     0.423472  0.000000999181820     1.584100   -30.115081    30.115081 
    0.053000  0.007258653  0.000136694 30.120070507 30.120070507 200.000000000  1.543015655   0     0.426682  0.000000998297151     1.658922   -30.120071    30.120071 
    0.054000  0.007395347  0.000136776 30.125186248 30.125186248 200.000000000  1.630587021   0     0.429889  0.000000999635311     1.736535   -30.125186    30.125186 
    0.055000  0.007532123  0.000136702 30.130435864 30.130435864 200.000000000  1.722706463   0     0.433223  0.000000998703266     1.817104   -30.130436    30.130436 
    0.056000  0.007668825  0.000136778 30.135815064 30.135815064 200.000000000  1.815459588   0     0.436542  0.000000999944375     1.900615   -30.135815    30.135815 
    0.057000  0.007805603  0.000136701 30.141331388 30.141331388 200.000000000  1.912838168   0     0.439985  0.000000998964589     1.987240   -30.141331    30.141331 
    0.058000  0.007942304  0.000136625 30.146980415 30.146980415 200.000000000  2.010590871   0     0.443402  0.000000997987331     2.076966   -30.146980    30.146980 
    0.059000  0.008078928  0.000136691 30.152763655 30.152763655 200.000000000  2.110686854   0     0.446860  0.000000999103646     2.169872   -30.152764    30.152764 
    0.060000  0.008215620  0.000136611 30.158688919 30.158688919 200.000000000  2.215503658   0     0.450439  0.000000998071959     2.266142   -30.158689    30.158689 
    0.061000  0.008352231  0.000136671 30.164751595 30.164751595 200.000000000  2.320283985   1     0.453980  0.000000999080566     2.365763   -30.164752    30.164752 
    0.062000  0.008488902  0.000136586 30.170959658 30.170959658 200.000000000  2.429838170   1     0.457673  0.000000997988570     2.468927   -30.170960    30.170960 
    0.063000  0.008625488  0.000136638 30.177308376 30.177308376 200.000000000  2.539073764   1     0.461355  0.000000998882543     2.575620   -30.177308    30.177308 
    0.064000  0.008762127  0.000136684 30.183805876 30.183805876 200.000000000  2.653128714   1     0.465197  0.000000999691529     2.686045   -30.183806    30.183806 
    0.065000  0.008898810  0.000136591 30.190453927 30.190453927 200.000000000  2.769422748   1     0.469112  0.000000998470146     2.800302   -30.190454    30.190454 
    0.066000  0.009035401  0.000136628 30.197247618 30.197247618 200.000000000  2.884970230   1     0.473003  0.000000999153090     2.918378   -30.197248    30.197248 
    0.067000  0.009172029  0.000136659 30.204195282 30.204195282 200.000000000  3.005393099   1     0.477055  0.000000999745503     3.040489   -30.204195    30.204195 
    0.068000  0.009308688  0.000136556 30.211298694 30.211298694 200.000000000  3.127864515   1     0.481174  0.000000998378014     3.166744   -30.211299    30.211299 
    0.069000  0.009445243  0.000136577 30.218552772 30.218552772 200.000000000  3.249165387   1     0.485254  0.000000998831382     3.297131   -30.218553    30.218553 
    0.070000  0.009581820  0.000136592 30.225966023 30.225966023 200.000000000  3.375385473   1     0.489496  0.000000999188077     3.431884   -30.225966    30.225966 
    0.071000  0.009718412  0.000136600 30.233540216 30.233540216 200.000000000  3.503461753   1     0.493799  0.000000999446254     3.571119   -30.233540    30.233540 
    0.072000  0.009855012  0.000136601 30.241277114 30.241277114 200.000000000  3.633329944   1     0.498161  0.000000999604035     3.714957   -30.241277    30.241277 
    0.073000  0.009991613  0.000136595 30.249178472 30.249178472 200.000000000  3.764926227   1     0.502578  0.000000999659529     3.863524   -30.249178    30.249178 
    0.074000  0.010128209  0.000136582 30.257246037 30.257246037 200.000000000  3.898187429   1     0.507050  0.000000999610837     4.016946   -30.257246    30.257246 
    0.075000  0.010264791  0.000136562 30.265481548 30.265481548 200.000000000  4.033051184   1     0.511574  0.000000999456065     4.175357   -30.265482    30.265482 
    0.076000  0.010401353  0.000136535 30.273886731 30.273886731 200.000000000  4.169456085   1     0.516148  0.000000999193328     4.338891   -30.273887    30.273887 
    0.077000  0.010537888  0.000136500 30.282463300 30.282463300 200.000000000  4.307341819   1     0.520770  0.000000998820760     4.507689   -30.282463    30.282463 
    0.078000  0.010674387  0.000136567 30.291212954 30.291212954 200.000000000  4.446649291   1     0.525437  0.000000999943844     4.681895   -30.291213    30.291213 
    0.079000  0.010810954  0.000136513 30.300144630 30.300144630 200.000000000  4.591127131   1     0.530273  0.000000999302081     4.861804   -30.300145    30.300145 
    0.080000  0.010947467  0.000136452 30.309252831 30.309252831 200.000000000  4.733232718   1     0.535030  0.000000998545761     5.047428   -30.309253    30.309253 
    0.081000  0.011083919  0.000136487 30.318539202 30.318539202 200.000000000  4.876587254   1     0.539827  0.000000999199389     5.238926   -30.318539    30.318539 
    0.082000  0.011220406  0.000136509 30.328012677 30.328012677 200.000000000  5.025089732   1     0.544792  0.000000999664555     5.436614   -30.328013    30.328013 
    0.083000  0.011356915  0.000136518 30.337674945 30.337674945 200.000000000  5.174892814   1     0.549797  0.000000999940192     5.640669   -30.337675    30.337675 
